% MoM Electric Field Results - Generated: 2025-06-01 13:19:19
% Distance(m)	Field_dB	Magnitude(V/m)	Real(V/m)	Imag(V/m)	Phase(deg)
106.473812	6.426874	2.281787e+01	-2.112188e+00	2.271990e+01	95.311
106.551078	6.146309	2.209929e+01	2.157927e+01	4.765876e+00	12.454
106.628345	5.857179	2.138223e+01	7.168925e+00	-2.014463e+01	-70.411
106.705612	5.556918	2.066194e+01	-1.845582e+01	-9.289685e+00	-153.282
106.782879	5.246775	1.994321e+01	-1.110589e+01	1.656474e+01	123.840
106.860146	4.924369	1.922232e+01	1.451621e+01	1.260068e+01	40.959
106.937413	4.590525	1.850310e+01	1.376627e+01	-1.236344e+01	-41.927
107.014680	4.243005	1.778277e+01	-1.015214e+01	-1.460003e+01	-124.813
107.091947	3.882360	1.706467e+01	-1.510873e+01	7.932802e+00	152.298
107.169214	3.506083	1.634613e+01	5.747874e+00	1.530222e+01	69.413
107.246481	3.114860	1.563092e+01	1.520071e+01	-3.641971e+00	-13.474
107.323748	2.705378	1.491561e+01	-1.650255e+00	-1.482404e+01	-96.352
107.401015	2.278677	1.420485e+01	-1.420357e+01	-1.905459e-01	-179.231
107.478281	1.830558	1.349464e+01	-1.856090e+00	1.336638e+01	97.906
107.555548	1.361739	1.278941e+01	1.235137e+01	3.318542e+00	15.039
107.632815	0.868112	1.208648e+01	4.566799e+00	-1.119050e+01	-67.800
107.710082	0.348147	1.138759e+01	-9.925404e+00	-5.582428e+00	-150.645
107.787349	-0.200420	1.069384e+01	-6.368079e+00	8.591028e+00	126.548
107.864616	-0.783618	1.000239e+01	7.226638e+00	6.915459e+00	43.739
107.941883	-1.401194	9.318697e+00	7.239022e+00	-5.868107e+00	-39.029
108.019150	-2.064085	8.636559e+00	-4.548415e+00	-7.341803e+00	-121.779
108.096417	-2.772321	7.962674e+00	-7.246226e+00	3.300968e+00	155.509
108.173684	-3.539504	7.291715e+00	2.151337e+00	6.967127e+00	72.840
108.250951	-4.371488	6.627662e+00	6.531447e+00	-1.125217e+00	-9.775
108.328218	-5.284626	5.968061e+00	-2.421703e-01	-5.963145e+00	-92.326
108.405484	-6.293113	5.315433e+00	-5.293288e+00	-4.846944e-01	-174.768
108.482751	-7.428027	4.665762e+00	-1.041402e+00	4.548056e+00	102.897
108.560018	-8.711483	4.026052e+00	3.764560e+00	1.427300e+00	20.764
108.637285	-10.215413	3.386978e+00	1.638410e+00	-2.964327e+00	-61.070
108.714552	-11.999173	2.759014e+00	-2.188356e+00	-1.680254e+00	-142.482
108.791819	-14.225163	2.135914e+00	-1.564459e+00	1.454165e+00	137.093
108.869086	-17.160779	1.523815e+00	7.964453e-01	1.299110e+00	58.489
108.946353	-21.389398	9.367650e-01	9.069842e-01	-2.343252e-01	-14.486
109.023620	-27.621320	4.572606e-01	2.104114e-01	-4.059732e-01	-62.603
109.100887	-25.962724	5.536339e-01	1.822234e-01	-5.227859e-01	-70.783
109.178154	-20.211439	1.073782e+00	-6.845071e-01	-8.273193e-01	-129.604
109.255421	-16.434081	1.659254e+00	-1.505163e+00	6.982896e-01	155.112
109.332687	-13.762315	2.257513e+00	5.470954e-01	2.190217e+00	75.975
109.409954	-11.721520	2.856267e+00	2.846059e+00	-2.412685e-01	-4.846
109.487221	-10.059924	3.459453e+00	2.167989e-01	-3.452653e+00	-86.407
109.564488	-8.661855	4.064804e+00	-3.981694e+00	-8.177676e-01	-168.394
109.641755	-7.459798	4.669509e+00	-1.552479e+00	4.403875e+00	109.419
109.719022	-6.408819	5.271677e+00	4.698366e+00	2.390801e+00	26.970
109.796289	-5.459228	5.882431e+00	3.325013e+00	-4.852555e+00	-55.581
109.873556	-4.606745	6.490969e+00	-4.838974e+00	-4.326316e+00	-138.201
109.950823	-3.829943	7.100323e+00	-5.366882e+00	4.648781e+00	139.101
110.028090	-3.148326	7.682229e+00	4.263033e+00	6.390868e+00	56.295
110.105357	-2.554172	8.228546e+00	7.360442e+00	-3.678704e+00	-26.556
110.182624	-2.000123	8.773113e+00	-2.914982e+00	-8.274684e+00	-109.406
110.259890	-1.478092	9.319300e+00	-9.105194e+00	1.986153e+00	167.695
110.337157	-0.986850	9.864462e+00	9.042239e-01	9.822932e+00	84.741
110.414424	-0.512700	1.042099e+01	1.041624e+01	3.146781e-01	1.730
110.491691	-0.060499	1.098112e+01	1.666614e+00	-1.085392e+01	-81.270
110.568958	0.370766	1.154351e+01	-1.111282e+01	-3.123754e+00	-164.300
110.646225	0.778770	1.210224e+01	-4.660569e+00	1.116885e+01	112.650
110.723492	1.170608	1.266442e+01	1.101991e+01	6.240933e+00	29.524
110.800759	1.550048	1.323381e+01	7.848769e+00	-1.065507e+01	-53.624
110.878026	1.917984	1.381050e+01	-1.006852e+01	-9.452771e+00	-136.807
110.955293	2.273157	1.439115e+01	-1.102789e+01	9.246120e+00	140.023
111.032560	2.611962	1.496798e+01	8.191498e+00	1.252756e+01	56.820
111.109827	2.937342	1.554388e+01	1.392261e+01	-6.911817e+00	-26.402
111.187093	3.248848	1.611618e+01	-5.427692e+00	-1.517470e+01	-109.681
111.264360	3.553058	1.669552e+01	-1.626810e+01	3.753555e+00	167.007
111.341627	3.847738	1.727671e+01	1.907941e+00	1.717104e+01	83.660
111.418894	4.137185	1.786737e+01	1.786712e+01	9.412000e-02	0.302
111.496161	4.415855	1.845530e+01	2.228183e+00	-1.832030e+01	-83.066
111.573428	4.686859	1.904576e+01	-1.851491e+01	-4.465330e+00	-166.441
111.650695	4.945138	1.962633e+01	-6.768110e+00	1.842242e+01	110.173
111.727962	5.194979	2.020496e+01	1.804128e+01	9.096855e+00	26.758
111.805229	5.433528	2.077363e+01	1.141183e+01	-1.735839e+01	-56.678
111.882496	5.665488	2.134210e+01	-1.638595e+01	-1.367427e+01	-140.155
111.959763	5.889304	2.190557e+01	-1.584999e+01	1.512057e+01	136.349
112.037030	6.108296	2.247143e+01	1.358092e+01	1.790318e+01	52.817
112.114296	6.321346	2.303614e+01	1.980320e+01	-1.176849e+01	-30.722
112.191563	6.529628	2.360208e+01	-9.707076e+00	-2.151351e+01	-114.285
112.268830	6.732593	2.416713e+01	-2.300461e+01	7.405251e+00	162.156
112.346097	6.929570	2.472864e+01	4.895366e+00	2.423925e+01	78.582
112.423364	7.121104	2.528735e+01	2.519176e+01	-2.196651e+00	-4.983
112.500631	7.305293	2.583681e+01	6.483408e-01	-2.582868e+01	-88.562
112.577898	7.484032	2.638166e+01	-2.613354e+01	-3.609744e+00	-172.136
112.655165	7.654683	2.691292e+01	-6.637279e+00	2.608163e+01	104.278
112.732432	7.820312	2.743900e+01	2.566955e+01	9.693941e+00	20.689
112.809699	7.977892	2.794945e+01	1.272652e+01	-2.488387e+01	-62.913
112.886966	8.131179	2.845532e+01	-2.373523e+01	-1.569536e+01	-146.525
112.964233	8.277082	2.894573e+01	-1.854900e+01	2.222139e+01	129.853
113.041499	8.419447	2.943260e+01	2.036590e+01	2.124871e+01	46.215
113.118766	8.555477	2.990583e+01	2.374826e+01	-1.817632e+01	-37.430
113.196033	8.688520	3.037621e+01	-1.568715e+01	-2.601207e+01	-121.093
113.273300	8.816459	3.083587e+01	-2.800140e+01	1.291405e+01	155.241
113.350567	8.941656	3.129260e+01	9.900488e+00	2.968513e+01	71.556
113.427834	9.063021	3.174208e+01	3.103363e+01	-6.668820e+00	-12.128
113.505101	9.181594	3.218766e+01	-3.269599e+00	-3.202117e+01	-95.830
113.582368	9.297547	3.262965e+01	-3.262854e+01	-2.692757e-01	-179.527
113.659635	9.410453	3.306611e+01	-3.892090e+00	3.283625e+01	96.760
113.736902	9.521812	3.350243e+01	3.263679e+01	7.566560e+00	13.053
113.814169	9.629806	3.393135e+01	1.123399e+01	-3.201772e+01	-70.666
113.891436	9.737102	3.436300e+01	-3.098427e+01	-1.485903e+01	-154.379
113.968702	9.840798	3.478572e+01	-1.838259e+01	2.953179e+01	121.901
114.045969	9.944348	3.521304e+01	2.767886e+01	2.176784e+01	38.183
114.123236	10.044275	3.563073e+01	2.495821e+01	-2.542905e+01	-45.535
114.200503	10.144257	3.605361e+01	-2.281433e+01	-2.791718e+01	-129.256
114.277770	10.240886	3.646742e+01	-3.059392e+01	1.984652e+01	147.028
114.355037	10.337401	3.688549e+01	1.657021e+01	3.295402e+01	63.305
114.432304	10.431151	3.729647e+01	3.495561e+01	-1.300507e+01	-20.407
114.509571	10.524280	3.770932e+01	-9.206662e+00	-3.656816e+01	-104.131
114.586838	10.615497	3.811836e+01	-3.776177e+01	5.201717e+00	172.157
114.664105	10.705348	3.852577e+01	1.054238e+00	3.851134e+01	88.432
114.741372	10.794284	3.893342e+01	3.880143e+01	3.203138e+00	4.719
114.818639	10.881029	3.933545e+01	7.501239e+00	-3.861359e+01	-79.006
114.895905	10.967809	3.974180e+01	-3.794867e+01	-1.180291e+01	-162.723
114.973172	11.051700	4.013898e+01	-1.603774e+01	3.679577e+01	113.550
115.050439	11.136319	4.054352e+01	3.517284e+01	2.016553e+01	29.827
115.127706	11.217682	4.093679e+01	2.411898e+01	-3.307712e+01	-53.901
115.204973	11.300017	4.133849e+01	-3.054338e+01	-2.785629e+01	-137.634
115.282240	11.379216	4.172906e+01	-3.131779e+01	2.757735e+01	138.634
115.359507	11.459072	4.212650e+01	2.422907e+01	3.446148e+01	54.890
115.436774	11.536446	4.251557e+01	3.723962e+01	-2.051302e+01	-28.848
115.514041	11.613627	4.290727e+01	-1.649158e+01	-3.961138e+01	-112.604
115.591308	11.689409	4.329560e+01	-4.154462e+01	1.218825e+01	163.649
115.668575	11.763805	4.368047e+01	7.673635e+00	4.300115e+01	79.882
115.745842	11.838041	4.406794e+01	4.396703e+01	-2.980554e+00	-3.878
115.823108	11.909701	4.444566e+01	1.817402e+00	-4.440849e+01	-87.656
115.900375	11.982202	4.483095e+01	-4.433082e+01	-6.677762e+00	-171.434
115.977642	12.051361	4.520218e+01	-1.152977e+01	4.370699e+01	104.778
116.054909	12.121718	4.558276e+01	4.256059e+01	1.632128e+01	20.981
116.132176	12.188748	4.594894e+01	2.099012e+01	-4.087444e+01	-62.818
116.209443	12.256440	4.632158e+01	-3.868724e+01	-2.547521e+01	-146.635
116.286710	12.321713	4.668424e+01	-2.972775e+01	3.599554e+01	129.552
116.363977	12.386286	4.704594e+01	3.284796e+01	3.367985e+01	45.716
116.441244	12.449978	4.740562e+01	3.729880e+01	-2.925905e+01	-38.112
116.518511	12.511265	4.775482e+01	-2.528073e+01	-4.051429e+01	-121.964
116.595778	12.573174	4.811004e+01	-4.330935e+01	2.094936e+01	154.186
116.673045	12.631428	4.844750e+01	1.631352e+01	4.561830e+01	70.322
116.750311	12.690936	4.879436e+01	4.743600e+01	-1.143309e+01	-13.551
116.827578	12.746775	4.912295e+01	-6.348737e+00	-4.871096e+01	-97.426
116.904845	12.803044	4.945619e+01	-4.944301e+01	1.141436e+00	178.678
116.982112	12.857123	4.977913e+01	-4.156295e+00	4.960531e+01	94.789
117.059379	12.909546	5.009462e+01	4.919508e+01	9.450664e+00	10.874
117.136646	12.962058	5.041262e+01	1.471181e+01	-4.821820e+01	-73.033
117.213913	13.010749	5.071032e+01	-4.666494e+01	-1.984742e+01	-156.959
117.291180	13.061058	5.101927e+01	-2.482000e+01	4.457504e+01	119.110
117.368447	13.106986	5.130422e+01	4.193528e+01	2.955596e+01	35.176
117.445714	13.153843	5.159626e+01	3.399989e+01	-3.880956e+01	-48.779
117.522981	13.198231	5.187522e+01	-3.519471e+01	-3.810998e+01	-132.723
117.600248	13.240730	5.214434e+01	-4.181109e+01	3.115870e+01	143.306
117.677514	13.283887	5.241881e+01	2.672796e+01	4.509266e+01	59.343
117.754781	13.322588	5.266770e+01	4.787448e+01	-2.195268e+01	-24.634
117.832048	13.363195	5.292937e+01	-1.690152e+01	-5.015832e+01	-108.622
117.909315	13.400064	5.316945e+01	-5.188871e+01	1.159967e+01	167.399
117.986582	13.436242	5.340636e+01	6.147097e+00	5.305141e+01	83.391
118.063849	13.472610	5.364550e+01	5.364253e+01	-5.643812e-01	-0.603
118.141116	13.504479	5.385779e+01	5.055454e+00	-5.361999e+01	-84.614
118.218383	13.538833	5.408639e+01	-5.302583e+01	-1.065829e+01	-168.635
118.295650	13.569283	5.429154e+01	-1.619663e+01	5.181931e+01	107.357
118.372917	13.598789	5.449155e+01	5.004119e+01	2.156868e+01	23.317
118.450184	13.629577	5.470035e+01	2.676333e+01	-4.770590e+01	-60.707
118.527451	13.655155	5.487702e+01	-4.481050e+01	-3.167818e+01	-144.742
118.604717	13.683080	5.506913e+01	-3.627522e+01	4.143329e+01	131.202
118.681984	13.709222	5.525057e+01	3.756152e+01	4.051861e+01	47.169
118.759251	13.731626	5.540874e+01	4.431436e+01	-3.326209e+01	-36.892
118.836518	13.757399	5.558892e+01	-2.859489e+01	-4.767032e+01	-120.957
118.913785	13.779361	5.574521e+01	-5.052042e+01	2.356302e+01	154.995
118.991052	13.799202	5.588828e+01	1.827580e+01	5.281567e+01	70.913
119.068319	13.822620	5.605480e+01	5.458193e+01	-1.276533e+01	-13.163
119.145586	13.841237	5.619073e+01	-7.068045e+00	-5.574443e+01	-97.226
119.222853	13.858522	5.631835e+01	-5.630327e+01	1.303069e+00	178.674
119.300120	13.879529	5.647045e+01	-4.510094e+00	5.629006e+01	94.581
119.377387	13.896191	5.659463e+01	5.564597e+01	1.031880e+01	10.505
119.454654	13.910204	5.670178e+01	1.600236e+01	-5.439684e+01	-73.607
119.531920	13.928807	5.683915e+01	-5.259760e+01	-2.154487e+01	-157.725
119.609187	13.944943	5.696067e+01	-2.690322e+01	5.020692e+01	118.184
119.686454	13.956069	5.704953e+01	4.725779e+01	3.195857e+01	34.069
119.763721	13.970332	5.715915e+01	3.668245e+01	-4.383568e+01	-50.077
119.840988	13.987108	5.728555e+01	-3.993658e+01	-4.106950e+01	-134.199
119.918255	13.998230	5.737486e+01	-4.502019e+01	3.556764e+01	141.690
119.995522	14.006757	5.744714e+01	3.083398e+01	4.847102e+01	57.538
120.072789	14.007359	5.746696e+01	5.139282e+01	-2.571439e+01	-26.581
120.150056	14.009696	5.749827e+01	-2.029682e+01	-5.379675e+01	-110.671
120.227323	14.007357	5.749861e+01	-5.560410e+01	1.463811e+01	165.251
120.304590	14.001986	5.747889e+01	8.855882e+00	5.679257e+01	81.137
120.381857	14.000411	5.748428e+01	5.740494e+01	-3.019067e+00	-3.011
120.459123	14.004053	5.752420e+01	2.860840e+00	-5.745302e+01	-87.149
120.536390	14.006908	5.755893e+01	-5.689035e+01	-8.747480e+00	-171.259
120.613657	14.004644	5.755973e+01	-1.453822e+01	5.569348e+01	104.630
120.690924	13.999644	5.754241e+01	5.390469e+01	2.013487e+01	20.482
120.768191	13.997739	5.754558e+01	2.549258e+01	-5.159091e+01	-63.705
120.845458	14.001359	5.758536e+01	-4.877932e+01	-3.060476e+01	-147.895
120.922725	14.007478	5.764175e+01	-3.543739e+01	4.546166e+01	127.936
120.999992	14.011130	5.768179e+01	4.163860e+01	3.991761e+01	43.791
121.077259	14.009726	5.768827e+01	4.395773e+01	-3.735846e+01	-40.360
121.154526	14.005035	5.767291e+01	-3.270205e+01	-4.750516e+01	-124.543
121.231793	14.000910	5.766130e+01	-5.054447e+01	2.775036e+01	151.232
121.309060	14.000967	5.767745e+01	2.255423e+01	5.308479e+01	66.981
121.386326	14.005728	5.772486e+01	5.512105e+01	-1.714145e+01	-17.275
121.463593	14.013569	5.779278e+01	-1.153409e+01	-5.663012e+01	-101.512
121.540860	14.020929	5.785758e+01	-5.756867e+01	5.774763e+00	174.272
121.618127	14.025342	5.790279e+01	-7.102473e-02	5.790274e+01	90.070
121.695394	14.025081	5.791685e+01	5.761369e+01	5.918104e+00	5.865
121.772661	14.021031	5.790564e+01	1.168220e+01	-5.671498e+01	-78.361
121.849928	14.014487	5.787781e+01	-5.523532e+01	-1.728872e+01	-162.620
121.927195	14.008245	5.785199e+01	-2.268402e+01	5.321925e+01	113.086
122.004462	14.003862	5.783856e+01	5.070378e+01	2.782850e+01	28.760
122.081729	14.003187	5.784982e+01	3.269473e+01	-4.772480e+01	-55.586
122.158996	14.006037	5.788455e+01	-4.430286e+01	-3.725423e+01	-139.940
122.236263	14.012417	5.794284e+01	-4.147653e+01	4.046072e+01	135.710
122.313530	14.020634	5.801345e+01	3.621461e+01	4.532176e+01	51.373
122.390796	14.029737	5.809006e+01	4.874664e+01	-3.159463e+01	-32.949
122.468063	14.037772	5.815962e+01	-2.663297e+01	-5.170325e+01	-117.254
122.545330	14.043951	5.821681e+01	-5.414831e+01	2.138125e+01	158.453
122.622597	14.046982	5.825294e+01	1.589293e+01	5.604302e+01	74.167
122.699864	14.046734	5.826708e+01	5.736058e+01	-1.023795e+01	-10.120
122.777131	14.042823	5.825663e+01	-4.481576e+00	-5.808400e+01	-94.412
122.854398	14.035690	5.822459e+01	-5.821006e+01	-1.300731e+00	-178.720
122.931665	14.025684	5.817331e+01	-7.045297e+00	5.774511e+01	96.956
123.008932	14.013491	5.810743e+01	5.670641e+01	1.268292e+01	12.607
123.086199	13.999896	5.803226e+01	1.816050e+01	-5.511751e+01	-71.764
123.163466	13.985501	5.795184e+01	-5.300832e+01	-2.342079e+01	-156.163
123.240733	13.971288	5.787273e+01	-2.842384e+01	5.041168e+01	119.416
123.317999	13.957544	5.779684e+01	4.736293e+01	3.312443e+01	34.968
123.395266	13.945298	5.773100e+01	3.749394e+01	-4.389844e+01	-49.499
123.472533	13.934427	5.767436e+01	-4.005473e+01	-4.149640e+01	-133.987
123.549800	13.925933	5.763354e+01	-4.511125e+01	3.586921e+01	141.511
123.627067	13.919284	5.760498e+01	3.137835e+01	4.830872e+01	56.995
123.704334	13.915437	5.759499e+01	5.107375e+01	-2.662058e+01	-27.529
123.781601	13.913525	5.759783e+01	-2.163294e+01	-5.338096e+01	-112.061
123.858868	13.914452	5.761950e+01	-5.521963e+01	1.645599e+01	163.405
123.936135	13.917132	5.765280e+01	1.112846e+01	5.656856e+01	78.871
124.013402	13.922404	5.770333e+01	5.742169e+01	-5.694151e+00	-5.663
124.090669	13.929095	5.776333e+01	-1.942278e-01	-5.776300e+01	-90.193
124.167936	13.937951	5.783780e+01	-5.759225e+01	-5.323910e+00	-174.719
124.245202	13.947842	5.791926e+01	-1.081678e+01	5.690025e+01	100.764
124.322469	13.959373	5.801179e+01	5.569404e+01	1.623396e+01	16.251
124.399736	13.971577	5.810895e+01	2.153067e+01	-5.397296e+01	-68.252
124.477003	13.984867	5.821355e+01	-5.175258e+01	-2.665497e+01	-152.749
124.554270	13.998525	5.832080e+01	-3.156253e+01	4.904205e+01	122.765
124.631537	14.012734	5.843194e+01	4.586618e+01	3.620201e+01	38.284
124.708804	14.027072	5.854416e+01	4.053171e+01	-4.224452e+01	-46.185
124.786071	14.041476	5.865704e+01	-3.821114e+01	-4.450345e+01	-130.650
124.863338	14.055830	5.876979e+01	-4.808042e+01	3.379587e+01	144.897
124.940605	14.069843	5.888043e+01	2.904127e+01	5.122021e+01	60.447
125.017872	14.083658	5.898993e+01	5.389302e+01	-2.398656e+01	-23.993
125.095139	14.096821	5.909519e+01	-1.868142e+01	-5.606466e+01	-108.429
125.172405	14.109648	5.919834e+01	-5.771413e+01	1.317284e+01	167.143
125.249672	14.121614	5.929579e+01	7.515794e+00	5.881754e+01	82.718
125.326939	14.133096	5.939008e+01	5.936391e+01	-1.762816e+00	-1.701
125.404206	14.143604	5.947784e+01	4.027986e+00	-5.934129e+01	-86.117
125.481473	14.153467	5.956130e+01	-5.874935e+01	-9.801175e+00	-170.529
125.558740	14.162317	5.963792e+01	-1.549777e+01	5.758906e+01	105.062
125.636007	14.170367	5.970913e+01	5.587087e+01	2.106242e+01	20.656
125.713274	14.177392	5.977335e+01	2.643744e+01	-5.360891e+01	-63.750
125.790541	14.183504	5.983135e+01	-5.082401e+01	-3.157072e+01	-148.152
125.867808	14.188553	5.988208e+01	-3.640783e+01	4.754296e+01	127.444
125.945075	14.192661	5.992634e+01	4.379621e+01	4.090304e+01	43.044
126.022342	14.195593	5.996252e+01	4.500681e+01	-3.962184e+01	-41.359
126.099608	14.197672	5.999281e+01	-3.505898e+01	-4.868270e+01	-125.760
126.176875	14.198361	6.001351e+01	-5.188747e+01	3.015479e+01	149.837
126.254142	14.198399	6.002971e+01	2.495607e+01	5.459634e+01	65.435
126.331409	14.196756	6.003428e+01	5.677357e+01	-1.951607e+01	-18.971
126.408676	14.194716	6.003611e+01	-1.388829e+01	-5.840761e+01	-103.376
126.485943	14.190719	6.002440e+01	-5.947147e+01	8.128496e+00	172.217
126.563210	14.186506	6.001119e+01	2.295892e+00	5.996726e+01	87.807
126.640477	14.180217	5.998365e+01	5.987821e+01	3.555075e+00	3.398
126.717744	14.173674	5.995435e+01	9.360744e+00	-5.921909e+01	-81.018
126.795011	14.165220	5.991188e+01	-5.798523e+01	-1.507137e+01	-165.430
126.872278	14.156167	5.986531e+01	-2.062091e+01	5.620172e+01	110.149
126.949545	14.145671	5.980881e+01	5.387796e+01	2.596651e+01	25.732
127.026811	14.134002	5.974431e+01	3.104313e+01	-5.104612e+01	-58.695
127.104078	14.121473	5.967395e+01	-4.773110e+01	-3.581512e+01	-143.117
127.181345	14.107255	5.959208e+01	-4.022346e+01	4.396919e+01	132.453
127.258612	14.092520	5.950678e+01	3.980025e+01	4.423796e+01	48.023
127.335879	14.076011	5.940946e+01	4.781172e+01	-3.526363e+01	-36.411
127.413146	14.058778	5.930734e+01	-3.041023e+01	-5.091737e+01	-120.848
127.490413	14.040272	5.919671e+01	-5.352514e+01	2.528460e+01	154.715
127.567680	14.020381	5.907686e+01	1.994097e+01	5.560965e+01	70.273
127.644947	13.999897	5.895323e+01	5.715899e+01	-1.443374e+01	-14.172
127.722214	13.977610	5.881763e+01	-8.811413e+00	-5.815387e+01	-98.616
127.799481	13.954724	5.867830e+01	-5.859414e+01	3.141555e+00	176.931
127.876748	13.930674	5.853144e+01	-2.537924e+00	5.847639e+01	92.485
127.954014	13.904885	5.837325e+01	5.780141e+01	8.150669e+00	8.026
128.031281	13.879404	5.821755e+01	1.366390e+01	-5.659135e+01	-76.426
128.108548	13.850953	5.804240e+01	-5.484186e+01	-1.900767e+01	-160.884
128.185815	13.823395	5.787373e+01	-2.414054e+01	5.259851e+01	114.653
128.263082	13.793433	5.768958e+01	4.986154e+01	2.901576e+01	30.196
128.340349	13.762839	5.750181e+01	3.357727e+01	-4.668003e+01	-54.272
128.417616	13.731892	5.731232e+01	-4.308039e+01	-3.779923e+01	-138.736
128.494883	13.698931	5.711020e+01	-4.163110e+01	3.909510e+01	136.799
128.572150	13.665532	5.690593e+01	3.478028e+01	4.504017e+01	52.324
128.649417	13.632143	5.670244e+01	4.801259e+01	-3.016550e+01	-32.140
128.726684	13.595469	5.647830e+01	-2.530016e+01	-5.049456e+01	-116.613
128.803951	13.560809	5.626810e+01	-5.249791e+01	2.025016e+01	158.907
128.881217	13.523669	5.604266e+01	1.503071e+01	5.398942e+01	74.443
128.958484	13.485123	5.580909e+01	5.495418e+01	-9.730966e+00	-10.042
129.035751	13.448015	5.558568e+01	-4.380973e+00	-5.541277e+01	-94.520
129.113018	13.408740	5.534935e+01	-5.534077e+01	-9.745775e-01	-178.991
129.190285	13.367454	5.510126e+01	-6.259737e+00	5.474454e+01	96.523
129.267552	13.328904	5.487156e+01	5.366573e+01	1.144020e+01	12.034
129.344819	13.287651	5.462581e+01	1.648732e+01	-5.207828e+01	-72.433
129.422086	13.243997	5.436612e+01	-5.001714e+01	-2.130636e+01	-156.927
129.499353	13.203524	5.412748e+01	-2.589297e+01	4.753250e+01	118.579
129.576620	13.161805	5.388215e+01	4.461607e+01	3.021080e+01	34.103
129.653887	13.116129	5.361349e+01	3.418912e+01	-4.129783e+01	-50.380
129.731154	13.072184	5.335681e+01	-3.765812e+01	-3.779967e+01	-134.893
129.808420	13.031344	5.312032e+01	-4.105958e+01	3.370281e+01	140.620
129.885687	12.985686	5.285556e+01	2.944700e+01	4.389287e+01	56.143
129.962954	12.937935	5.257943e+01	4.626924e+01	-2.497506e+01	-28.359
130.040221	12.908507	5.241516e+01	-2.035935e+01	-4.829954e+01	-112.857
130.117488	12.896667	5.235726e+01	-4.998888e+01	1.556903e+01	162.701
130.194755	12.880207	5.227161e+01	1.062432e+01	5.118051e+01	78.273
130.272022	12.861722	5.217393e+01	5.187059e+01	-5.617833e+00	-6.181
130.349289	12.845961	5.209276e+01	-6.072661e-01	-5.208922e+01	-90.668
130.426556	12.836964	5.205223e+01	-5.186540e+01	-4.406240e+00	-175.144
130.503823	12.827042	5.200618e+01	-9.400302e+00	5.114956e+01	100.414
130.581090	12.813403	5.193794e+01	4.993222e+01	1.429416e+01	15.975
130.658357	12.796069	5.184773e+01	1.900634e+01	-4.823843e+01	-68.495
130.735623	12.783096	5.178365e+01	-4.614214e+01	-2.350424e+01	-153.006
130.812890	12.775655	5.175260e+01	-2.779364e+01	4.365599e+01	122.483
130.890157	12.772514	5.174718e+01	4.078031e+01	3.185493e+01	37.995
130.967424	12.766730	5.172600e+01	3.563220e+01	-3.749567e+01	-46.460
131.044691	12.756554	5.167869e+01	-3.385076e+01	-3.904885e+01	-130.921
131.121958	12.742618	5.160908e+01	-4.206363e+01	2.990231e+01	144.592
131.199225	12.730076	5.154782e+01	2.573191e+01	4.466594e+01	60.054
131.276492	12.722508	5.151613e+01	4.687572e+01	-2.136768e+01	-24.505
131.353759	12.720998	5.152036e+01	-1.683623e+01	-4.869178e+01	-109.074
131.431026	12.723701	5.154959e+01	-5.010127e+01	1.213355e+01	166.386
131.508293	12.726299	5.157821e+01	7.296946e+00	5.105944e+01	81.867
131.585560	12.726389	5.159194e+01	5.153770e+01	-2.365048e+00	-2.627
131.662826	12.721168	5.157411e+01	2.581841e+00	-5.150945e+01	-87.131
131.740093	12.712675	5.153688e+01	-5.099069e+01	-7.483253e+00	-171.651
131.817360	12.701210	5.148205e+01	-1.226809e+01	4.999895e+01	103.786
131.894627	12.691519	5.143777e+01	4.858073e+01	1.690435e+01	19.186
131.971894	12.683845	5.140546e+01	2.135656e+01	-4.675915e+01	-65.452
132.049161	12.682044	5.140791e+01	-4.457029e+01	-2.561763e+01	-150.111
132.126428	12.684026	5.143276e+01	-2.966370e+01	4.201658e+01	125.222
132.203695	12.691507	5.149019e+01	3.911796e+01	3.348172e+01	40.561
132.280962	12.700562	5.155703e+01	3.703502e+01	-3.586830e+01	-44.083
132.358229	12.711701	5.163634e+01	-3.229261e+01	-4.029266e+01	-128.710
132.435496	12.720928	5.170438e+01	-4.320743e+01	2.839825e+01	146.685
132.512763	12.728749	5.176412e+01	2.423106e+01	4.574254e+01	62.089
132.590029	12.732399	5.179905e+01	4.785757e+01	-1.981903e+01	-22.496
132.667296	12.732792	5.181456e+01	-1.522674e+01	-4.952671e+01	-107.090
132.744563	12.728802	5.180393e+01	-5.072980e+01	1.049450e+01	168.312
132.821830	12.721486	5.177345e+01	5.693129e+00	5.145949e+01	83.687
132.899097	12.711189	5.172524e+01	5.171805e+01	-8.626141e-01	-0.956
132.976364	12.698622	5.166356e+01	3.931838e+00	-5.151373e+01	-85.635
133.053631	12.685234	5.159708e+01	-5.086534e+01	-8.658883e+00	-170.339
133.130898	12.671000	5.152565e+01	-1.326463e+01	4.978898e+01	104.918
133.208165	12.658092	5.146217e+01	4.831222e+01	1.772806e+01	20.150
133.285432	12.645586	5.140115e+01	2.200656e+01	-4.645202e+01	-64.651
133.362699	12.636039	5.135768e+01	-4.423915e+01	-2.608657e+01	-149.473
133.439966	12.627716	5.132148e+01	-2.993383e+01	4.168766e+01	125.680
133.517232	12.623246	5.130805e+01	3.882939e+01	3.353795e+01	40.818
